role,situation
Finance,"An employee is unable to charge hours to the timesheet code associated with their work, and Costpoint keeps giving them errors."
Finance,"A program manager needs work on a new project to begin as soon as possible, but the project has not yet been established for time charging, billing, and financial tracking."
Finance,"A utility client contacts Finance questioning why a particular project milestone appeared on a recent invoice, even though Finance billed according to information previously provided by the program team."
Finance,"A program manager asks Finance to bill an expense, but it is unclear which charge number it belongs to. Based on experience, you have a strong guess about which number was intended."
Finance,"While reviewing project finances, you notice that a project is approaching the end of its available contract funding even though work is still underway."
Finance,"After an invoice has already been submitted for monthly processing, a program manager discovers that important information on it needs to change."
Measurement and Verification,"You’ve scheduled a verification site visit with the design team lead and building owner. You arrive at the scheduled time and construction is still underway. You wait by the main entrance but don’t see anyone ‘in charge’, it is now 15 minutes past the scheduled time, and your project contact isn’t answering their phone."
Measurement and Verification,"After a project is complete, you review all the documentation and submittals we’ve received … but there’s no information on several measures you were expecting to see. Those strategies might have been implemented, but you aren’t able to confirm one way or the other."
Measurement and Verification,"The EEPS team has been requesting submittals for months without any luck. The owner says they don’t have the time to track down the documentation, and they say Willdan will have to do a site visit to verify everything."
Measurement and Verification,You review the drawings for a project that we thought had completed construction - but you find that only half of the expected buildings are done and the remaining buildings are now “Phase 2” construction and won’t be done for another year.
Measurement and Verification,A building owner from a project completed six months ago calls because actual utility bills are higher than they expected based on the verification report and wants to know what’s happening.
Measurement and Verification,"During verification, you find that several energy-saving strategies were not implemented and the project’s verified savings now fall just below the threshold required to receive an incentive."
Measurement and Verification,"During verification, the actual building areas differ substantially from what was modeled, with individual areas varying in both directions and the total area about 10% higher than expected."
Measurement and Verification,"After sending a draft verification report, you discover that you used the wrong baseline and overstated the performance of a cooling strategy that is actually only at baseline efficiency."
Measurement and Verification,"Shortly after emailing a Draft Verification Report to a design team, you realize that you accidentally attached the report for a completely different project with different participants."
Consulting,"You are prepared for a scheduled project-team Webex meeting, but ten minutes after the start time no one else has joined and none of the expected participants has contacted you."
Consulting,"During a results meeting, an owner’s representative stops the discussion and says the analysis cannot be accurate because the model does not reflect their exact equipment specifications."
Consulting,"An energy model crashes repeatedly, and troubleshooting takes much longer than expected. The project will not be ready for third-party review until the day before the scheduled results meeting."
Consulting,A project team seemed engaged during the intro call but has not responded to any emails or phone calls for five months despite repeated attempts to reconnect.
Consulting,"After you model the three HVAC options the project team requested, the mechanical engineer announces during the results meeting that the design has changed and none of the modeled scenarios is still valid."
Consulting,"Your energy model is nearly complete when the project team announces that the entire building layout has changed, affecting much of the work already performed."
Consulting,"During an intro call, the mechanical engineer describes a new system their firm developed that your modeling tool cannot represent directly."
Consulting,"During a results meeting, a utility account representative suggests several potentially useful design changes that were not included in the energy model being presented."
Consulting,"After presenting results to the project team, you discover that a copy-and-paste error affected multiple modeled scenarios and most of the results you shared were incorrect."
Consulting,"A design team leaves you off its updated drawing distribution, so you unknowingly model outdated plans and discover the problem only when meeting with the team to review your findings."
Consulting,"Updated drawings are uploaded to the wrong project folder, and you complete the energy model using outdated plans before discovering the newer files."
Outreach,"You've reached out several times to an architecture firm that seems like a great fit for the program, but no one has responded. You don't want to become a nuisance, but you also don't want to give up on a promising relationship."
Outreach,"During a conversation with a developer, they tell you they're interested in your services but already have an energy consultant they regularly work with and don't see a reason to involve another one."
Outreach,"An architect you've worked with before mentions a large project that sounds perfect for the program, but says the design team is extremely busy and probably won't have time for anything that adds meetings or additional work."
Outreach,"You're visiting an engineering firm when someone mentions a project that may be a good fit for your program. They know very little about it, and the person who knows the project best isn't available."
Outreach,A developer who has never worked with your team asks what makes your consulting services different from other energy-efficiency resources they've encountered. You know you have only a few minutes before they need to leave for another meeting.
Outreach,"You learn that a promising project has been in design for several months and may already be farther along than is ideal for your program. The design team is interested, but you don't yet know whether there is still a useful opportunity to engage."
Outreach,"A firm that used to send your team several projects each year hasn't brought you anything recently. There hasn't been a complaint or obvious problem, but the relationship seems to have gone quiet."
Outreach,"At an industry event, you meet someone from a firm you've been hoping to connect with. They're friendly and interested in what your team does, but the event is busy and you only have a short opportunity to make a connection before they move on."
Outreach,"You've spent a half hour talking to an architect about a project that seems like a perfect fit for EDA, but toward the end they mention that the project is already half built ... and the program you're talking about doesn't allow enrollment after construction starts."
Outreach,"You've reached out several times to an architecture firm that seems like a great fit for the program, but no one has responded. You don't want to become a nuisance, but you also don't want to give up on a promising relationship."
Outreach,"During a conversation with a developer, they tell you they're interested in your services but already have an energy consultant they regularly work with and don't see a reason to involve another one."
Outreach,"An architect you've worked with before mentions a large project that sounds perfect for the program, but says the design team is extremely busy and probably won't have time for anything that adds meetings or additional work."
Outreach,"You're visiting an engineering firm when someone mentions a project that may be a good fit for your program. They know very little about it, and the person who knows the project best isn't available."
Outreach,A developer who has never worked with your team asks what makes your consulting services different from other energy-efficiency resources they've encountered. You know you have only a few minutes before they need to leave for another meeting.
